,latitude,longitude,traffic_data
0,32.72965472,-97.10880056,1
10,32.72965465,-97.10879989,1
20,32.72965502,-97.10879963,1
30,32.72965502,-97.10879842,1
40,32.72965457,-97.10879707,1
50,32.72964407,-97.10879867,1
60,32.72962919,-97.10879785,1
70,,-97.10879696,1
80,32.72959498,-97.10879762,1
90,32.72957219,-97.10879871,1
100,32.72954878,-97.1088006,1
110,32.72952328,-97.10880381,1
120,32.72949721,-97.10880501,1
130,32.72947067,-97.10880602,1
140,32.72944443,-97.108807,1
150,32.72941889,-97.10880744,1
160,32.7293923,-97.10880777,2
170,32.72936506,-97.1088078,2
180,32.72933835,-97.10880909,2
190,32.72931312,-97.10881103,2
200,32.72929191,-97.10881008,2
210,32.72927359,-97.10881248,2
220,32.7292584,-97.10881327,2
230,32.72925423,-97.10881232,2
240,32.7292558,-97.10881,2
250,32.72925991,-97.10880692,2
260,32.72926107,-97.10880575,2
270,32.72926196,-97.10880682,2
280,32.72926164,-97.10880766,2
290,32.72926056,-97.10880923,2
300,32.72925995,-97.10880909,2
310,32.72925475,-97.10881072,3
320,32.72925364,-97.10881287,3
330,32.7292524,-97.10881252,3
340,32.7292531,-97.10881225,3
350,32.72925312,-97.10881299,3
360,32.72925255,-97.10881456,3
370,32.729251,-97.10881548,3
380,32.72925067,-97.10881626,3
390,32.72925041,-97.10881687,3
400,32.72925114,-97.10881771,3
410,32.72925138,-97.10881903,3
420,32.7292455,-97.10881936,3
430,32.72923586,-97.10882227,3
440,32.72921981,-97.10882477,3
450,32.7292041,-97.10882676,3
460,32.72918612,-97.10882846,2
470,32.72916273,-97.10882811,2
480,32.72913462,-97.10882683,2
490,32.72910666,-97.10882761,2
500,32.72907665,-97.10882728,2
510,32.72904916,-97.10882707,2
520,32.72902245,-97.10882883,2
530,32.7289948,-97.10883173,2
540,32.728966,-97.10883471,2
550,32.72893714,-97.10883512,2
560,32.72890783,-97.10883542,2
570,32.72887751,-97.10883705,2
580,32.7288472,-97.10883287,2
590,32.72881835,-97.10883227,2
600,32.72879014,-97.10883103,3
610,32.72876092,-97.1088326,3
620,32.7287308,-97.10883269,3
630,32.72870052,-97.10883448,3
640,32.7286704,-97.10883574,3
650,32.72864151,-97.10883488,3
660,32.72861301,-97.10883571,3
670,32.72858252,-97.10883722,3
680,32.72855214,-97.10883777,3
690,32.72852141,-97.10883599,3
700,32.72848998,-97.10883876,3
710,32.72845899,-97.10883924,3
720,32.72842766,-97.10884176,3
730,32.7283958,-97.10884584,3
740,32.7283634,-97.10884837,3
750,32.7283288,-97.10884796,3
760,32.72829505,-97.10884682,2
770,32.72826244,-97.1088463,2
780,32.72822848,-97.10884726,2
790,32.72819541,-97.10884672,2
800,32.72816226,-97.10884592,2
810,32.72812932,-97.10884799,2
820,32.72809544,-97.10884911,2
